name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u
Suriname,2015,559.1359863,66.05599976,95.74769217,0.882801398,1.013834976,2.35567146,90.57961632,1.285032142,1.200506574,6.934844965,98.4033997,0.676108333,0.917906514,0.002585455
Honduras,2020,9904.608398,58.35899734,95.68922113,0.425620609,3.885158264,0,89.87579955,0.806709508,9.317490946,0,99.83728281,0.153701526,0.009015663,0
Grenada,2015,109.6029968,35.99700165,95.62865044,1.161481584,0,3.209867972,null,null,null,null,null,null,null,null
Grenada,2017,110.8740005,36.16400146,95.62865044,1.161481584,0,3.209867972,null,null,null,null,null,null,null,null
Saint Lucia,2015,179.1309967,18.51499939,95.56809428,1.790210415,2.641695303,0,95.31226124,1.707252381,2.980486378,0,96.69403318,2.155311103,1.150655713,0
El Salvador,2015,6325.121094,69.69999695,95.56213774,0.580479777,1.161950545,2.695431942,87.96121432,1.734743718,2.481033956,7.823008005,98.86641785,0.078697978,0.58851289,0.466371286
Guyana,2020,786.559021,26.7859993,95.55480685,1.205244408,1.143069849,2.096878897,93.9284905,1.646193862,1.561274833,2.864040809,100,0,0,0
Kazakhstan,2020,18776.70703,57.67100143,95.43497032,1.941425039,2.545956934,0.077647705,91.93925234,1.862616064,6.014693049,0.183438544,98.00073133,1.999268673,0,0
Dominica,2015,71.17500305,69.57899475,95.42065606,0,4.579343937,0,null,null,null,null,null,null,null,null
Dominica,2017,71.45999908,70.18099976,95.42065606,0,4.579343937,0,null,null,null,null,null,null,null,null
Ecuador,2020,17643.06055,64.16600037,95.35976356,0.003451463,2.604485389,2.032299589,87.05074495,0.009631811,7.26819549,5.671427747,100,0,0,0
Sint Maarten (Dutch part),2015,39.96699905,100,95.31117933,0,4.68882067,0,null,null,null,null,95.31117933,0,4.68882067,0
Sint Maarten (Dutch part),2017,41.44400024,100,95.31117933,0,4.68882067,0,null,null,null,null,95.31117933,0,4.68882067,0
Falkland Islands (Malvinas),2020,3.48300004,78.50799561,95.3089274,0,4.691072596,0,78.17294282,0,21.82705718,0,100,0,0,0
Serbia,2020,8737.370117,56.44599915,95.29552932,4.244199279,0.443720478,0.016550926,95.84497475,3.545864028,0.571160287,0.038000931,94.87156989,4.783037865,0.345392245,0
Democratic People's Republic of Korea,2015,25183.83203,61.27700424,95.21488171,0.68500239,3.829054918,0.27106098,91.61696842,0.367939632,7.315091944,0.7,97.48852402,0.885365001,1.626110978,0
Guyana,2015,767.4329834,26.44099808,95.16185695,1.233247953,1.344803287,2.260091808,93.42276971,1.676542504,1.82819943,3.072488358,100,0,0,0
